BCR,biome,prov_state_split,strata_names
1,Arctic,,
2,Northern_Forest,,
3,Arctic,,
4,Northern_Forest,,
5,Northern_Pacific,TRUE,US-AK-5
5,Northern_Pacific,TRUE,CA-YT-5
5,Northern_Pacific,TRUE,CA-BC-5
6,Northern_Forest,,
7,Northern_Forest,,
8,Northern_Forest,,
12,Northern_Forest,,
14,Northern_Forest,,
5,Southern_Pacific,TRUE,US-OR-5
5,Southern_Pacific,TRUE,US-WA-5
5,Southern_Pacific,TRUE,US-CA-5
15,Southern_Pacific,,
9,Intermountain,,
10,Intermountain,,
11,Northern_Plains,,
13,Northern_Temperate_Forest,,
16,Intermountain,,
17,Northern_Plains,,
18,Southern_Plains,,
19,Southern_Plains,,
20,Southwest_Arid,,
21,Southern_Plains,,
22,Southern_Plains,,
23,Northern_Plains,,
24,Southern_Temperate_Forest,,
25,Southern_Temperate_Forest,,
26,Southern_Temperate_Forest,,
27,Southern_Temperate_Forest,,
28,Northern_Temperate_Forest,,
29,Southern_Temperate_Forest,,
30,Northern_Temperate_Forest,,
31,Southern_Temperate_Forest,,
32,Southern_Pacific,,
33,Southwest_Arid,,
34,Southwest_Arid,,
35,Southwest_Arid,,
36,Southwest_Arid,,
37,Southern_Temperate_Forest,,
38,Southwest_Arid,,
39,Southwest_Arid,,
40,Southwest_Arid,,
